State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Totals.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.12-17,Totals.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.12-17
Delaware,2005,69102,92344,541851,3,0.049046,11,293,0.161926,7,0.106028,1,0.014745,4,0.062834,5,0.071832,9,0.133126,9,0.125187
District of Columbia,2005,36509,71305,369695,1,0.035282,5,231,0.136044,3,0.074208,0,0.00609,2,0.061151,2,0.067504,5,0.133269,3,0.093525
Florida,2005,1405376,1765323,11819668,73,0.051716,234,6727,0.166459,135,0.096332,24,0.016935,71,0.057347,98,0.070002,192,0.136838,162,0.115192
Georgia,2005,800536,1007170,5604242,36,0.044968,115,2675,0.143651,78,0.097465,12,0.014431,34,0.046204,48,0.059989,94,0.117366,97,0.121162
Hawaii,2005,101214,124633,806534,5,0.046963,13,397,0.131509,7,0.072187,1,0.014105,4,0.058992,7,0.069585,14,0.142366,9,0.091451
Idaho,2005,130072,171005,869082,9,0.071718,21,435,0.161244,13,0.100822,2,0.01678,6,0.05023,8,0.059884,16,0.12031,16,0.124741
Illinois,2005,1100792,1422772,7966227,62,0.056168,189,4403,0.171324,116,0.105441,17,0.01565,53,0.05503,74,0.067059,138,0.125157,141,0.127984
Indiana,2005,546441,702749,3913195,28,0.05042,81,2032,0.148633,65,0.118415,9,0.015679,28,0.056371,34,0.062534,65,0.119652,78,0.142006
Iowa,2005,244036,348756,1887732,20,0.080012,45,1040,0.183902,31,0.127303,4,0.018385,12,0.052683,16,0.063716,28,0.113165,39,0.158147
Kansas,2005,234307,324975,1685072,17,0.072943,45,933,0.19213,29,0.124604,4,0.017241,11,0.05183,15,0.066132,32,0.134886,37,0.159565
Kentucky,2005,339347,443407,2675718,20,0.057922,54,1167,0.158866,53,0.155259,5,0.016079,16,0.05386,22,0.065046,41,0.120954,66,0.194785
Louisiana,2005,385359,523857,2663520,17,0.043452,67,1378,0.173685,41,0.105363,4,0.011488,19,0.054551,22,0.05673,46,0.118513,50,0.129962
Maine,2005,107149,133984,891125,6,0.059719,20,510,0.18942,14,0.128992,2,0.017327,6,0.075514,12,0.108556,19,0.174338,17,0.160925
Maryland,2005,488407,582701,3545971,25,0.050319,75,2015,0.152849,47,0.095266,7,0.013762,23,0.053635,27,0.055088,60,0.123013,54,0.110372
Massachusetts,2005,510948,693784,4187314,28,0.054994,90,2545,0.175309,53,0.104081,9,0.017444,27,0.063343,45,0.088583,83,0.162231,73,0.142218
Michigan,2005,901407,1105696,6379828,47,0.05268,148,3806,0.164244,102,0.113298,14,0.015084,46,0.058249,65,0.072662,124,0.137849,121,0.134076
Minnesota,2005,437254,593399,3249410,29,0.066352,81,2130,0.185824,54,0.124627,8,0.018426,22,0.057106,33,0.074983,58,0.133114,67,0.153076
Mississippi,2005,257913,339363,1758458,11,0.044346,37,674,0.142269,26,0.099497,3,0.011772,11,0.046098,14,0.05477,27,0.106468,34,0.130667
Missouri,2005,490572,648988,3671275,31,0.06416,86,1901,0.175622,65,0.131554,8,0.016904,22,0.050339,32,0.064215,64,0.129538,78,0.158755
Montana,2005,77917,107581,605606,8,0.106066,17,356,0.214718,11,0.136179,1,0.016674,4,0.063931,8,0.104707,13,0.170136,14,0.179805
Nebraska,2005,148761,210037,1083695,11,0.070857,28,606,0.189266,17,0.116556,2,0.015845,7,0.045978,8,0.056205,17,0.111158,21,0.144345
Nevada,2005,206623,246089,1551580,13,0.063645,33,861,0.160847,21,0.103912,4,0.019195,11,0.06283,15,0.074912,30,0.143606,25,0.120243
New Hampshire,2005,113655,136775,860562,7,0.063811,21,556,0.18355,12,0.107065,2,0.018771,6,0.05772,10,0.084034,16,0.142264,15,0.130488
New Jersey,2005,741478,844005,5639515,40,0.053627,144,3385,0.194446,81,0.108837,12,0.016336,38,0.057193,47,0.063321,99,0.1328680000000000,95,0.127613
New Mexico,2005,173970,226724,1183171,11,0.06416,30,566,0.170256,20,0.115157,3,0.018988,9,0.072705,13,0.076983,27,0.157494,26,0.146736
New York,2005,1587906,2106543,12383739,84,0.052898,306,7142,0.192407,154,0.096725,24,0.014812,79,0.056922,123,0.07735,232,0.145806,189,0.119163
North Carolina,2005,723206,900033,5515308,35,0.048101,105,2515,0.144721,80,0.110185,10,0.014479,33,0.051877,50,0.069681,93,0.127907,103,0.141809
North Dakota,2005,50524,84579,394935,4,0.081768,10,237,0.19657,6,0.12186,1,0.015551,2,0.045088,2,0.044932,5,0.102733,8,0.15258
Ohio,2005,977997,1249533,7288639,52,0.053108,169,3916,0.172436,122,0.124636,15,0.015032,50,0.057238,68,0.069614,133,0.135763,154,0.157056
Oklahoma,2005,295821,415188,2187319,15,0.050287,46,943,0.157179,38,0.129356,5,0.015513,14,0.052582,19,0.062553,38,0.12873,48,0.161883
Oregon,2005,297574,395092,2383671,19,0.062206,54,1383,0.183095,33,0.110304,6,0.018931,17,0.071246,24,0.082137,53,0.176508,42,0.140944
Pennsylvania,2005,1029986,1325571,8088579,53,0.051721,171,4453,0.165537,131,0.12688,15,0.014437,53,0.058594,68,0.066465,142,0.137955,156,0.151567
Rhode Island,2005,87162,125832,687555,5,0.053542,18,442,0.204052,10,0.110297,2,0.019067,5,0.071411,8,0.096781,15,0.174136,12,0.134511
South Carolina,2005,361860,461761,2698757,16,0.045149,52,1287,0.143382,44,0.121407,4,0.012423,18,0.054191,22,0.060955,43,0.118935,54,0.14933
South Dakota,2005,66214,92864,477378,5,0.069374,12,292,0.186529,9,0.141541,1,0.016412,3,0.051103,4,0.063708,8,0.122828,12,0.174009
Tennessee,2005,486247,634563,3851545,24,0.048427,68,1689,0.139366,63,0.130229,7,0.015095,24,0.057223,29,0.059789,64,0.130661,80,0.164794
Texas,2005,2083455,2674678,13620520,104,0.049852,345,7164,0.165523,201,0.096272,43,0.020579,94,0.05167,116,0.055644,242,0.11613,243,0.116729
Utah,2005,233270,364626,1353274,12,0.050726,26,466,0.113085,19,0.079842,4,0.0188,10,0.039364,12,0.049622,24,0.100777,23,0.096795
Vermont,2005,51757,70705,414171,3,0.06554,11,262,0.203969,7,0.13055,1,0.019586,3,0.07752,5,0.100977,9,0.176345,9,0.166392
Virginia,2005,621149,782661,4767472,31,0.049531,94,2621,0.151255,69,0.11107,9,0.015146,31,0.056091,40,0.064304,83,0.1335,80,0.128167
Washington,2005,532240,686791,4037966,31,0.058595,91,2321,0.171309,52,0.097524,10,0.01789,26,0.056818,41,0.077757,78,0.146233,67,0.125354
West Virginia,2005,136941,188109,1219878,7,0.05386,23,440,0.165779,20,0.143427,3,0.020495,6,0.053668,10,0.069385,19,0.136257,25,0.184177
Wisconsin,2005,469879,631978,3530390,29,0.060742,92,2377,0.194971,52,0.110269,8,0.016476,24,0.057341,31,0.065884,61,0.129074,65,0.139269
Wyoming,2005,42307,60899,324179,3,0.076436,9,190,0.202133,6,0.143505,1,0.017891,2,0.065907,3,0.075578,6,0.152365,8,0.192785
Alabama,2006,386639,500168,2919719,19,0.048496,58,1205,0.149648,46,0.119558,5,0.013287,18,0.050085,21,0.054082,43,0.112026,64,0.164336
Alaska,2006,64383,74321,395433,4,0.059415,10,232,0.151618,6,0.097755,1,0.014503,3,0.058348,5,0.079823,10,0.151563,9,0.141865
Arizona,2006,531706,667551,3852843,26,0.049593,88,2127,0.165876,56,0.105041,13,0.024444,26,0.054375,32,0.060227,66,0.124725,66,0.124162
Arkansas,2006,234358,298001,1778618,17,0.070434,40,808,0.169973,34,0.145072,3,0.014862,11,0.057329,16,0.066278,30,0.126855,38,0.16422
California,2006,3251070,4216574,22275311,186,0.057343,505,11703,0.155357,226,0.069564,56,0.017216,150,0.052316,221,0.068116,424,0.130271,286,0.08812
Colorado,2006,387286,516885,3028921,28,0.072791,70,1933,0.179943,39,0.101949,8,0.02049,23,0.078479,32,0.081488,63,0.162563,57,0.147858
Connecticut,2006,296415,352612,2273192,21,0.069162,57,1501,0.193489,29,0.097637,5,0.017453,17,0.067006,22,0.07439,42,0.142161,37,0.124204
Delaware,2006,70333,91979,547985,3,0.043679,11,311,0.157286,7,0.093168,1,0.013246,3,0.051395,5,0.069011,9,0.126702,8,0.110603
District of Columbia,2006,37965,82030,377906,1,0.0359,5,229,0.14071,3,0.072299,0,0.007523,2,0.061751,3,0.068143,5,0.129952,4,0.092782
Florida,2006,1389340,1778827,12041147,69,0.049641,233,6732,0.167877,132,0.09478,23,0.016519,68,0.055108,96,0.069344,175,0.126187,162,0.116622
Georgia,2006,822659,1001876,5761385,35,0.042581,118,2865,0.142974,83,0.100439,12,0.014757,36,0.048667,47,0.057332,96,0.116195,113,0.137152
Hawaii,2006,99465,126140,819708,6,0.059309,14,410,0.140983,7,0.070646,1,0.014106,5,0.063343,7,0.070504,14,0.141145,10,0.100489
Idaho,2006,132866,165315,893079,9,0.065886,19,398,0.141979,12,0.088373,2,0.014192,6,0.05015,8,0.061001,15,0.114403,15,0.112132
Illinois,2006,1094265,1433731,8011425,64,0.058106,179,4437,0.163986,111,0.101753,16,0.015013,52,0.053984,68,0.061995,126,0.11537,138,0.126311
Indiana,2006,539431,689525,3967335,27,0.049517,80,2098,0.149127,63,0.117563,8,0.014162,29,0.059756,40,0.073682,67,0.124866,79,0.14625
Iowa,2006,248086,343994,1882850,18,0.072165,43,1035,0.171487,29,0.117732,4,0.014419,13,0.053575,14,0.055256,27,0.107996,36,0.145179
Kansas,2006,235408,322138,1693284,16,0.069977,42,925,0.179887,28,0.117233,4,0.017282,11,0.048288,16,0.068809,29,0.124737,36,0.151997
Kentucky,2006,341772,430183,2710811,17,0.048529,55,1146,0.160976,55,0.160044,5,0.015422,19,0.067394,24,0.070219,47,0.138889,69,0.200703
Louisiana,2006,372138,505392,2604053,17,0.044454,62,1380,0.167811,41,0.111091,4,0.010804,19,0.055412,21,0.057639,45,0.119939,50,0.134893
Maine,2006,105652,127761,894906,6,0.057233,19,493,0.176279,12,0.117138,2,0.015127,6,0.068669,10,0.097952,17,0.164268,14,0.136332
Maryland,2006,478466,589416,3571216,25,0.052065,75,2035,0.156396,42,0.087699,6,0.013531,24,0.056306,28,0.058612,60,0.12484,50,0.104444
Massachusetts,2006,510890,716472,4200845,30,0.059683,95,2657,0.185171,49,0.09534,8,0.015266,29,0.0718,44,0.086828,83,0.162408,67,0.131663
Michigan,2006,888059,1095038,6401469,50,0.055798,143,3758,0.161354,95,0.107344,10,0.01164,45,0.057843,67,0.075522,121,0.136621,118,0.132438
Minnesota,2006,436903,582894,3276237,31,0.06997,75,2108,0.172338,51,0.11597,8,0.017363,22,0.054761,31,0.072016,56,0.127382,63,0.144534
Mississippi,2006,259663,330771,1756337,10,0.038763,32,679,0.122597,24,0.093352,2,0.008176,11,0.041893,12,0.047285,24,0.093502,31,0.121274
Missouri,2006,494026,633170,3701021,29,0.058283,81,1955,0.163528,59,0.119226,8,0.0159,24,0.05173,32,0.064227,62,0.125593,70,0.140955
Montana,2006,79003,105557,611324,6,0.081705,15,355,0.187655,10,0.121072,1,0.014319,4,0.065346,7,0.093974,13,0.163151,13,0.166315
Nebraska,2006,149456,209102,1085658,10,0.065324,27,604,0.180779,16,0.10794,2,0.012434,7,0.046557,8,0.055693,16,0.105077,19,0.130427
Nevada,2006,211067,243884,1609285,13,0.06325,32,904,0.149985,21,0.100487,4,0.02057,9,0.055421,15,0.070515,29,0.138234,25,0.118463
New Hampshire,2006,111310,134161,868239,7,0.062736,20,570,0.180397,11,0.099359,2,0.01719,6,0.063167,10,0.086439,18,0.15785,14,0.126127
New Jersey,2006,727090,852072,5662105,38,0.051605,131,3295,0.179893,66,0.091193,10,0.013145,36,0.052888,42,0.057687,89,0.121946,84,0.115639
New Mexico,2006,172181,226537,1198968,11,0.065394,29,548,0.167997,20,0.117839,4,0.021428,9,0.075666,15,0.087281,28,0.161747,26,0.150167
New York,2006,1579916,2179143,12397704,74,0.046523,300,7177,0.190026,130,0.082103,21,0.013165,80,0.057596,117,0.074333,220,0.139329,163,0.103486
North Carolina,2006,728599,907260,5664014,31,0.042194,103,2521,0.141319,80,0.109558,9,0.012693,36,0.053267,45,0.062248,86,0.11823,98,0.134098
North Dakota,2006,50947,88579,388842,4,0.079162,11,243,0.212102,6,0.124254,1,0.013167,2,0.052139,3,0.05018,6,0.114818,8,0.152978
Ohio,2006,971766,1226839,7315244,55,0.056584,175,3883,0.180476,125,0.128913,14,0.014479,55,0.064733,71,0.073514,139,0.142661,159,0.163951
Oklahoma,2006,299621,410759,2202862,14,0.046617,43,971,0.144946,40,0.132093,4,0.014517,14,0.050691,19,0.062125,35,0.116634,49,0.162508
Oregon,2006,297325,387123,2436662,16,0.05322,52,1457,0.175421,29,0.096918,6,0.019492,17,0.067347,23,0.078085,48,0.160903,40,0.135047
Pennsylvania,2006,1018244,1324878,8099649,50,0.049104,174,4532,0.171174,128,0.125681,14,0.013372,52,0.057184,70,0.069086,136,0.133217,154,0.150966
Rhode Island,2006,85339,127016,683457,5,0.054753,18,450,0.216156,10,0.114723,2,0.020009,5,0.075851,8,0.097663,16,0.184846,12,0.142846
South Carolina,2006,362886,457237,2759373,18,0.050189,53,1370,0.145298,43,0.118681,4,0.011774,17,0.049872,19,0.052979,41,0.111684,51,0.13993
South Dakota,2006,66722,91328,484977,5,0.069027,12,292,0.187071,8,0.126227,1,0.012132,3,0.047037,4,0.057669,8,0.114252,11,0.158942
Tennessee,2006,496587,620435,3921118,27,0.055037,67,1654,0.135564,65,0.12995,7,0.014857,24,0.05575,30,0.061231,62,0.125666,79,0.159718
Texas,2006,2105817,2699382,13969152,105,0.050082,311,7079,0.147784,199,0.094731,43,0.020397,95,0.051409,115,0.054706,236,0.112224,239,0.113259
Utah,2006,243193,370864,1398474,11,0.043256,24,463,0.098515,15,0.062456,3,0.013852,9,0.034193,11,0.043198,21,0.087651,19,0.07924
Vermont,2006,50946,68687,415768,3,0.059708,11,262,0.213506,6,0.115381,1,0.015856,3,0.081474,6,0.109031,9,0.185242,8,0.151778
Virginia,2006,617354,798995,4833297,30,0.048824,98,2686,0.159327,68,0.1101,9,0.015,30,0.054569,47,0.076269,82,0.132863,77,0.123978
Washington,2006,534929,672222,4127451,30,0.056829,96,2379,0.179041,52,0.097686,10,0.018562,26,0.055514,40,0.074011,76,0.141429,70,0.131218
West Virginia,2006,136317,181656,1221268,6,0.045712,21,449,0.151423,17,0.124389,2,0.015685,6,0.052822,9,0.063977,17,0.127688,23,0.167305
Wisconsin,2006,467728,619449,3562535,30,0.064407,92,2322,0.195825,58,0.123114,8,0.017004,25,0.061544,33,0.070601,63,0.135599,72,0.15349
Wyoming,2006,42925,59433,327096,3,0.080591,9,192,0.204537,6,0.146969,1,0.015969,2,0.067516,3,0.080773,7,0.155255,9,0.212257
Alabama,2007,383012,499641,2945019,17,0.045596,50,1234,0.130411,43,0.113181,4,0.010322,16,0.045213,20,0.052351,42,0.10852,56,0.147446
Alaska,2007,62685,75733,402686,3,0.055828,9,241,0.142873,6,0.091419,1,0.01714,3,0.061479,5,0.080049,9,0.150352,9,0.136285
Arizona,2007,537098,672122,3970487,32,0.060259,86,2241,0.160495,50,0.093541,11,0.020627,25,0.054975,35,0.065748,73,0.136691,60,0.110919
Arkansas,2007,232677,293615,1798383,12,0.053003,34,811,0.147727,31,0.131562,3,0.012307,10,0.049327,13,0.056759,27,0.114474,35,0.15018
California,2007,3209102,4257978,22463775,179,0.055925,475,11946,0.147934,213,0.066251,51,0.01585,157,0.055822,221,0.068799,425,0.13245,269,0.083681
Colorado,2007,387018,520149,3099040,27,0.068692,74,2045,0.190211,38,0.09873,8,0.020721,22,0.074241,35,0.091267,64,0.166154,55,0.141317
Connecticut,2007,292219,356482,2270009,18,0.062254,54,1476,0.184208,26,0.089979,5,0.016193,17,0.065952,23,0.077891,40,0.136444,33,0.11399
Delaware,2007,69899,92374,555898,3,0.047075,11,324,0.155207,7,0.096731,1,0.011184,3,0.053768,5,0.071903,10,0.137926,9,0.12464
District of Columbia,2007,37001,84647,382077,1,0.032611,6,238,0.153966,3,0.068781,0,0.005966,2,0.06832,3,0.072093,5,0.138453,3,0.09345
Florida,2007,1368710,1777472,12159193,66,0.047918,221,6794,0.161544,125,0.091265,20,0.014668,64,0.051703,90,0.065489,169,0.123323,156,0.113668
Georgia,2007,824664,999107,5874242,32,0.038451,108,3041,0.130885,81,0.098056,9,0.010862,37,0.052416,45,0.05409,100,0.120805,110,0.133551
Hawaii,2007,95794,128777,828347,5,0.056627,12,420,0.126381,7,0.069232,1,0.015275,5,0.06554,7,0.070893,13,0.136346,10,0.099676
Idaho,2007,132932,163520,913888,8,0.056848,16,414,0.123087,12,0.08793,2,0.014132,6,0.052843,9,0.070734,17,0.125398,14,0.108867
Illinois,2007,1082534,1442935,8046718,56,0.051677,173,4672,0.159574,111,0.102632,13,0.011709,52,0.054559,67,0.061805,127,0.117725,140,0.128974
Indiana,2007,535015,677663,4001008,28,0.052391,84,2092,0.156929,64,0.120002,7,0.013011,27,0.058043,41,0.075782,71,0.131989,81,0.151512
Iowa,2007,244378,340717,1894591,15,0.063025,38,1075,0.15506,25,0.103822,3,0.011354,11,0.045071,13,0.051285,24,0.096349,31,0.126639
Kansas,2007,232244,321431,1708875,14,0.059693,36,911,0.15487,26,0.110385,3,0.01425,11,0.052933,15,0.062671,27,0.117321,31,0.132919
Kentucky,2007,339631,425520,2745161,14,0.040892,47,1144,0.138291,49,0.143882,4,0.012891,19,0.064848,22,0.063754,43,0.125803,61,0.179955
Louisiana,2007,370852,513946,2648484,15,0.040798,57,1320,0.153695,35,0.094974,4,0.009517,17,0.045225,19,0.052254,40,0.107297,43,0.116491
Maine,2007,102760,125395,897986,5,0.051358,17,494,0.164574,11,0.109744,1,0.01337,6,0.064102,9,0.091257,16,0.156857,13,0.127783
Maryland,2007,469557,598009,3582541,22,0.046143,69,2101,0.147155,37,0.078045,5,0.010346,26,0.059261,30,0.062834,61,0.129566,44,0.093768
Massachusetts,2007,506225,733229,4219456,27,0.052871,92,2722,0.181047,40,0.07829,7,0.013374,30,0.071578,41,0.081371,78,0.154242,55,0.108219
Michigan,2007,869168,1086307,6405116,47,0.054051,136,3706,0.156827,91,0.104282,10,0.011347,43,0.05684,64,0.073572,118,0.136082,114,0.131012
Minnesota,2007,429517,576248,3308617,29,0.066999,74,2208,0.171562,48,0.11071,7,0.015626,19,0.048991,28,0.066002,53,0.123447,59,0.137936
Mississippi,2007,256834,329777,1764673,10,0.038166,31,705,0.118886,23,0.09059,2,0.006572,11,0.042006,11,0.044608,23,0.09133,29,0.112577
Missouri,2007,488564,623849,3738674,28,0.057267,74,1978,0.150721,56,0.113996,6,0.01327,23,0.053217,31,0.062987,60,0.123363,68,0.139692
Montana,2007,78003,105436,621245,5,0.070306,15,381,0.187962,8,0.10839,1,0.012863,4,0.067982,7,0.086464,13,0.163945,12,0.156008
Nebraska,2007,147219,208669,1092664,9,0.063224,24,643,0.163565,15,0.104481,2,0.012084,7,0.050072,9,0.063213,17,0.116036,20,0.133786
Nevada,2007,213693,241972,1646368,13,0.060903,31,917,0.143896,21,0.099518,5,0.021226,10,0.057274,16,0.075762,32,0.150489,25,0.116951
New Hampshire,2007,109279,132548,872225,6,0.056276,20,584,0.184554,10,0.094652,2,0.014783,6,0.069438,10,0.094315,19,0.1708,14,0.123807
New Jersey,2007,715118,858459,5652902,32,0.044403,108,3254,0.151703,52,0.073407,9,0.011887,30,0.041979,41,0.056908,75,0.104235,69,0.096025
New Mexico,2007,167079,226011,1217991,10,0.058826,26,581,0.152864,18,0.105103,3,0.01652,9,0.071208,14,0.08271,26,0.157841,22,0.131062
New York,2007,1559314,2218415,12500501,74,0.047594,271,7276,0.174098,129,0.082977,20,0.012508,78,0.057224,122,0.078263,222,0.142539,163,0.104421
North Carolina,2007,730031,926614,5782173,31,0.042541,103,2744,0.141497,80,0.109907,8,0.010589,41,0.064608,50,0.069071,97,0.133348,99,0.135932
North Dakota,2007,49767,89213,391328,3,0.068583,10,238,0.204315,6,0.11558,1,0.010729,2,0.05115,3,0.053393,5,0.105144,7,0.147138
Ohio,2007,956958,1210200,7350420,53,0.055685,155,3947,0.16248,109,0.11371,12,0.01227,51,0.059706,71,0.074474,132,0.138254,142,0.148173
Oklahoma,2007,295908,408764,2229744,14,0.04752,39,957,0.13192,36,0.121896,4,0.013858,14,0.048585,18,0.059809,34,0.114992,43,0.14486
Oregon,2007,295639,383360,2477185,17,0.058505,50,1563,0.167914,28,0.095315,5,0.016106,17,0.070909,24,0.081648,49,0.165457,43,0.145044
Pennsylvania,2007,998611,1325852,8116495,48,0.048208,167,4592,0.167164,118,0.117816,14,0.013856,48,0.053507,69,0.069422,123,0.123139,144,0.144476
Rhode Island,2007,83372,126249,680188,4,0.0533,17,437,0.207367,8,0.097888,1,0.016264,5,0.07462,8,0.093888,15,0.176688,10,0.125743
South Carolina,2007,359862,460337,2817192,16,0.044096,48,1403,0.134625,36,0.100955,4,0.010513,16,0.048,20,0.054479,41,0.11342,44,0.121943
South Dakota,2007,66089,90910,494494,4,0.064178,11,296,0.17378,8,0.11671,1,0.010751,3,0.049303,4,0.061207,7,0.113114,10,0.1472
Tennessee,2007,496878,616545,3996018,22,0.044242,62,1673,0.124395,56,0.112206,6,0.011553,22,0.04804,30,0.061191,59,0.117965,69,0.13809
Texas,2007,2107904,2702238,14256754,103,0.048697,298,7117,0.141405,185,0.087819,35,0.016396,91,0.048825,121,0.057441,232,0.110042,222,0.105207
Utah,2007,248473,374336,1458451,10,0.041421,19,449,0.076273,15,0.058642,3,0.01356,10,0.038185,13,0.050748,24,0.09806,19,0.075149
Vermont,2007,49626,68089,417049,3,0.054883,10,264,0.203587,5,0.104387,1,0.013129,3,0.075163,5,0.109299,9,0.178439,7,0.147428
Virginia,2007,612162,820128,4873378,32,0.051658,91,2763,0.148488,62,0.100756,8,0.013133,30,0.05662,41,0.067577,81,0.131758,72,0.117242
Washington,2007,528584,673412,4199736,29,0.054588,84,2547,0.159159,50,0.093897,8,0.015208,25,0.05376,38,0.07146,75,0.141656,67,0.126593
West Virginia,2007,134149,177189,1224679,6,0.046736,19,476,0.139421,17,0.130085,2,0.013429,6,0.050883,8,0.062538,17,0.126609,23,0.167881
Wisconsin,2007,460365,613671,3601989,30,0.065646,86,2300,0.187692,54,0.118115,7,0.015769,25,0.060349,33,0.072439,63,0.136584,66,0.143788
Wyoming,2007,42535,59260,332809,3,0.073804,8,185,0.178705,6,0.130109,1,0.014123,2,0.064904,3,0.072743,6,0.148538,8,0.196157
Alabama,2008,379377,505718,2974610,16,0.041228,48,1334,0.126953,39,0.104036,3,0.007569,16,0.044659,22,0.056982,38,0.101094,50,0.132611
Alaska,2008,60678,77131,409778,3,0.053149,9,243,0.142249,6,0.093686,1,0.014459,3,0.063478,6,0.091426,10,0.158905,8,0.134585
Arizona,2008,538865,686141,4050064,29,0.054003,80,2211,0.147954,47,0.086996,7,0.013783,27,0.061007,39,0.072811,77,0.142765,55,0.101689
Arkansas,2008,231516,295741,1818264,11,0.049024,36,815,0.153404,28,0.120497,2,0.008895,10,0.051486,16,0.067252,29,0.123297,35,0.149864
California,2008,3147890,4329856,22568441,166,0.052708,444,12185,0.141084,222,0.070498,44,0.013912,182,0.066644,242,0.077004,476,0.151175,298,0.094674
Colorado,2008,384709,527605,3153539,24,0.063222,78,2085,0.202168,37,0.096879,5,0.013726,24,0.081132,39,0.101734,71,0.185465,51,0.133007
Connecticut,2008,287870,363648,2276860,17,0.059198,53,1436,0.185573,25,0.086717,4,0.012584,18,0.070949,24,0.08346,46,0.159147,32,0.110102
Delaware,2008,68911,93807,564013,3,0.048625,11,334,0.163498,7,0.097389,1,0.00911,4,0.066653,5,0.075448,11,0.155299,9,0.130664
District of Columbia,2008,35726,86607,385608,1,0.030374,6,245,0.156269,2,0.062978,0,0.004336,2,0.072511,3,0.074972,5,0.145912,3,0.09481
Florida,2008,1348640,1804515,12261205,58,0.043277,206,6692,0.152962,112,0.083049,14,0.010519,65,0.053453,85,0.063121,175,0.129396,143,0.106101
Georgia,2008,822696,1013813,5963681,28,0.033761,112,3112,0.135565,74,0.089465,7,0.008095,37,0.054625,45,0.055034,104,0.126869,96,0.116768
Hawaii,2008,93198,131005,828273,5,0.058328,11,422,0.116426,7,0.076032,1,0.012456,4,0.064159,7,0.077198,13,0.144518,9,0.099325
Idaho,2008,132962,164370,930335,7,0.051639,17,458,0.129079,12,0.090541,2,0.012449,7,0.054951,10,0.075024,18,0.134374,14,0.1075
Illinois,2008,1065750,1461607,8068047,46,0.043227,162,4647,0.151623,107,0.100112,11,0.009862,52,0.056544,78,0.072873,142,0.133331,133,0.124494
Indiana,2008,529845,679069,4034745,27,0.050059,76,2050,0.144088,57,0.108449,6,0.010912,27,0.058131,38,0.072384,68,0.129002,74,0.139732
Iowa,2008,240105,339894,1905387,16,0.0667,42,1132,0.173365,24,0.101732,3,0.011132,12,0.053415,17,0.068807,28,0.117243,30,0.124103
Kansas,2008,229136,321796,1723761,13,0.056813,37,977,0.15931,25,0.10796,3,0.01113,12,0.056542,14,0.059702,28,0.121168,30,0.131073
Kentucky,2008,336896,428585,2771834,13,0.038304,41,1111,0.122115,42,0.12435,3,0.010244,17,0.054605,18,0.052702,37,0.1091,57,0.168247
Louisiana,2008,370950,523818,2716104,13,0.036341,57,1362,0.152644,31,0.084119,3,0.008429,15,0.038883,18,0.048155,36,0.097554,40,0.107152
Maine,2008,99629,125205,902774,4,0.040648,15,524,0.145682,10,0.097198,1,0.011332,5,0.054266,8,0.084288,14,0.142037,12,0.121254
Maryland,2008,459954,611079,3612130,17,0.037011,64,2098,0.140231,35,0.076107,4,0.008702,22,0.056125,32,0.070136,63,0.137341,42,0.090391
Massachusetts,2008,498720,758227,4263188,24,0.047388,84,2764,0.168916,38,0.076304,6,0.011764,29,0.071302,45,0.090888,82,0.164383,52,0.104995
Michigan,2008,842712,1086902,6402870,41,0.048983,123,3739,0.145592,87,0.103427,9,0.010532,44,0.059749,66,0.078844,120,0.1421,109,0.128832
Minnesota,2008,421196,574322,3344152,24,0.057662,62,2191,0.147036,41,0.097231,5,0.011208,19,0.048539,24,0.055844,48,0.112945,53,0.124938
Mississippi,2008,252527,331040,1778519,9,0.03676,32,746,0.127018,24,0.096571,2,0.00628,10,0.040899,13,0.050248,25,0.099154,31,0.12104
Missouri,2008,482442,626322,3786858,25,0.051485,67,2005,0.139247,53,0.109796,5,0.010014,22,0.051104,28,0.057426,56,0.115367,70,0.145683
Montana,2008,76196,105444,629651,6,0.082346,16,390,0.2139,9,0.112372,1,0.011676,4,0.066719,7,0.087838,12,0.154988,12,0.155942
Nebraska,2008,144863,208854,1100620,8,0.056546,20,624,0.138093,14,0.093578,2,0.011031,7,0.044827,9,0.060883,16,0.108731,18,0.122939
Nevada,2008,214026,246764,1668924,12,0.05403,33,978,0.152945,20,0.094441,3,0.015019,12,0.071596,19,0.089631,35,0.164522,26,0.119788
New Hampshire,2008,106508,133724,880070,5,0.050915,19,598,0.178313,11,0.102324,1,0.012311,6,0.062904,10,0.096595,18,0.165572,13,0.125518
