State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Totals.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.12-17,Totals.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.12-17
Oklahoma,2002,302673,411137,2120890,17,0.056766,49,929,0.160402,45,0.149591,6,0.018575,17,0.063342,25,0.081258,46,0.153422,53,0.175973
Oregon,2002,297076,385140,2261755,17,0.058382,51,1262,0.170724,34,0.112933,6,0.019104,17,0.069408,28,0.093118,52,0.173815,43,0.144231
Pennsylvania,2002,1028108,1290045,8009346,55,0.053442,186,4256,0.180594,151,0.147341,15,0.014852,60,0.06653,84,0.081782,157,0.15237,172,0.167494
Rhode Island,2002,85295,126228,688500,6,0.066171,19,416,0.221236,12,0.137223,2,0.020978,5,0.078864,9,0.108629,16,0.182929,14,0.161285
South Carolina,2002,345629,458404,2574050,17,0.048303,50,1193,0.143611,42,0.122116,6,0.017079,20,0.065633,25,0.072508,46,0.134372,54,0.155174
South Dakota,2002,69742,90990,459901,7,0.097708,15,262,0.220714,14,0.197882,2,0.024051,5,0.083853,7,0.095658,12,0.17648,16,0.228239
Tennessee,2002,473558,621828,3699537,23,0.047664,63,1387,0.132671,68,0.143315,9,0.01846,22,0.050895,30,0.063729,58,0.121494,81,0.171688
Texas,2002,2018953,2512206,12788834,118,0.058449,355,6376,0.175641,235,0.116542,52,0.025834,114,0.065191,129,0.063776,281,0.139097,272,0.134548
Utah,2002,229447,360378,1222045,11,0.047203,23,384,0.102277,15,0.065683,3,0.015171,10,0.044975,12,0.052963,25,0.110808,19,0.084312
Vermont,2002,53924,69851,403822,3,0.064478,12,245,0.220026,8,0.148438,2,0.028093,4,0.103502,7,0.133166,12,0.226901,10,0.183272
Virginia,2002,607438,739131,4560096,38,0.061837,112,2458,0.184045,86,0.141722,10,0.017184,38,0.073392,51,0.084252,94,0.154747,94,0.154004
Washington,2002,528622,653701,3825493,31,0.05829,96,2308,0.181542,57,0.108421,9,0.017713,31,0.071435,48,0.091051,93,0.176449,70,0.13219
West Virginia,2002,139163,194555,1197550,9,0.063175,25,441,0.182759,24,0.173399,4,0.026083,9,0.072889,12,0.086249,24,0.169217,30,0.213435
Wisconsin,2002,482686,620505,3425585,35,0.071858,103,2072,0.213926,74,0.153221,10,0.019832,30,0.071661,37,0.077073,76,0.158386,84,0.173023
Wyoming,2002,45377,59114,310110,3,0.075421,8,169,0.183034,6,0.127754,1,0.017993,3,0.064353,3,0.071356,7,0.144565,7,0.163419
Alabama,2003,381563,503783,2834977,18,0.048108,60,1137,0.156793,51,0.134812,6,0.015842,19,0.057088,25,0.064254,51,0.13402,67,0.174335
Alaska,2003,68492,69578,370098,4,0.056886,11,200,0.159795,9,0.131513,1,0.020778,4,0.077867,8,0.120174,13,0.184432,11,0.158711
Arizona,2003,498693,621802,3424675,37,0.074932,94,1807,0.189373,60,0.119558,14,0.027566,27,0.066348,42,0.083331,83,0.165624,73,0.145958
Arkansas,2003,233184,306999,1703727,13,0.054938,41,699,0.17546,33,0.142149,4,0.015218,12,0.057542,20,0.084435,34,0.146591,41,0.173997
California,2003,3209345,3949889,21686129,204,0.063632,540,11848,0.168149,279,0.086938,52,0.016061,169,0.061018,273,0.08516,469,0.146025,349,0.10876
Colorado,2003,388793,501011,2828830,26,0.067979,84,1754,0.21555,51,0.131411,8,0.019641,24,0.079195,38,0.098274,71,0.182669,67,0.173297
Connecticut,2003,295229,336200,2259754,19,0.064449,62,1440,0.208635,41,0.139631,5,0.018072,21,0.085348,26,0.086594,55,0.185335,49,0.167462
Delaware,2003,67658,90513,522123,3,0.048705,11,275,0.169463,9,0.130539,1,0.014715,4,0.065887,5,0.074743,10,0.151033,10,0.153362
District of Columbia,2003,33384,70483,367787,1,0.034653,4,215,0.122514,2,0.067113,0,0.005653,2,0.059079,2,0.058815,4,0.132777,3,0.089747
Florida,2003,1376459,1658368,11277251,77,0.056203,236,6086,0.171702,146,0.106299,22,0.016342,71,0.059333,100,0.072949,196,0.142577,170,0.123377
Georgia,2003,763519,967105,5276693,32,0.041268,119,2546,0.155882,92,0.119928,11,0.014329,37,0.056072,48,0.063446,101,0.13293,113,0.148415
Hawaii,2003,100549,121734,791438,7,0.068888,17,405,0.164403,9,0.089556,1,0.012972,5,0.074496,10,0.097143,17,0.169883,12,0.123858
Idaho,2003,127839,168848,815805,9,0.072771,22,414,0.172111,15,0.118159,2,0.018538,7,0.065401,9,0.07293,18,0.142118,19,0.145137
Illinois,2003,1089901,1400520,7863343,66,0.060232,191,4390,0.175495,121,0.110573,16,0.014291,59,0.061566,69,0.063355,150,0.13764,145,0.133493
Indiana,2003,546518,711380,3816240,31,0.056391,89,1878,0.162039,69,0.125863,10,0.017456,27,0.057637,42,0.076125,74,0.135516,79,0.144536
Iowa,2003,243608,354296,1860596,18,0.073137,48,1028,0.195953,32,0.132131,4,0.016858,12,0.052555,16,0.063757,30,0.121457,36,0.147
Kansas,2003,237856,324390,1655732,17,0.071276,46,816,0.194739,35,0.148887,4,0.015529,13,0.060363,18,0.076294,33,0.13837,41,0.173381
Kentucky,2003,336908,453011,2611452,18,0.054279,66,1054,0.195293,63,0.18823,6,0.016738,20,0.07309,29,0.087537,54,0.160809,82,0.243006
Louisiana,2003,403315,543941,2685275,24,0.059615,74,1276,0.184191,52,0.127903,6,0.013654,21,0.058623,26,0.064466,50,0.123636,60,0.147618
Maine,2003,109954,134241,875886,7,0.064795,19,452,0.17409,15,0.138655,2,0.020315,6,0.072125,13,0.116931,20,0.183212,17,0.153424
Maryland,2003,485901,556047,3492188,25,0.051009,79,1909,0.16187,51,0.10543,6,0.012128,27,0.063718,36,0.07422,73,0.150635,59,0.121713
Massachusetts,2003,512838,676402,4189790,34,0.065844,112,2690,0.218073,55,0.107102,9,0.017098,29,0.072817,53,0.102753,92,0.179881,70,0.137176
Michigan,2003,902553,1108787,6328980,54,0.060237,164,3487,0.182149,121,0.133842,14,0.01566,51,0.066869,79,0.087733,146,0.161733,140,0.154904
Minnesota,2003,442828,587599,3185052,30,0.067087,82,1938,0.185624,58,0.131678,8,0.018719,24,0.06439,36,0.08081,73,0.164205,71,0.161374
Mississippi,2003,256982,349332,1720516,10,0.040312,35,643,0.137503,32,0.124436,3,0.012234,11,0.043881,14,0.056121,26,0.102831,39,0.153381
Missouri,2003,490972,642988,3583670,35,0.070962,99,1841,0.201995,84,0.171385,10,0.019915,28,0.06897,40,0.08173,82,0.167364,100,0.20329
Montana,2003,79960,106615,588167,8,0.103923,18,339,0.22997,12,0.154129,1,0.018694,5,0.086342,8,0.100044,16,0.198434,17,0.210296
Nebraska,2003,150669,208757,1065283,12,0.081821,30,611,0.200955,21,0.136424,2,0.016427,8,0.061677,11,0.073885,21,0.136142,24,0.161352
Nevada,2003,192336,228424,1437719,13,0.066876,33,711,0.174098,21,0.110135,3,0.015123,11,0.068309,15,0.078151,33,0.171134,26,0.134915
New Hampshire,2003,114731,134285,839848,7,0.062258,25,532,0.21567,15,0.127329,2,0.020507,7,0.074487,12,0.103086,21,0.181781,18,0.155806
New Jersey,2003,733853,816302,5595385,41,0.055589,138,3147,0.188221,86,0.117025,11,0.014527,41,0.06099,51,0.069495,97,0.132427,103,0.140126
New Mexico,2003,175489,218107,1142829,14,0.080395,36,560,0.20331,23,0.130104,5,0.027672,11,0.087619,21,0.119052,35,0.19883,29,0.167889
New York,2003,1571709,2047533,12344264,86,0.054891,299,6910,0.19007,174,0.110404,22,0.013863,86,0.062796,133,0.08462,235,0.149474,196,0.124926
North Carolina,2003,701982,889092,5275688,32,0.044956,105,2214,0.149474,100,0.141848,9,0.01236,39,0.064133,52,0.07391,102,0.145424,121,0.17203
North Dakota,2003,52643,82943,392000,5,0.091496,12,238,0.233857,9,0.168212,1,0.017942,3,0.067481,4,0.074929,8,0.161132,11,0.206885
Ohio,2003,983181,1251526,7227097,55,0.056105,170,3901,0.172421,139,0.141312,13,0.013251,53,0.06247,81,0.08212,141,0.143339,166,0.168552
Oklahoma,2003,296942,415680,2144532,20,0.068094,52,919,0.17396,46,0.156468,5,0.017478,15,0.05907,23,0.077585,48,0.161445,55,0.185022
Oregon,2003,297247,392447,2296726,19,0.06541,56,1313,0.187788,35,0.116298,5,0.017157,17,0.069537,29,0.097435,54,0.181875,44,0.147403
Pennsylvania,2003,1034227,1315867,8027780,58,0.056337,184,4379,0.177508,142,0.137318,17,0.016775,57,0.063284,80,0.077523,149,0.143938,164,0.158489
Rhode Island,2003,87330,127440,690482,6,0.068887,18,437,0.202576,11,0.130895,2,0.019328,5,0.073838,10,0.10965,16,0.186754,14,0.155801
South Carolina,2003,356468,460716,2594007,19,0.051969,51,1168,0.144041,43,0.120916,7,0.019457,20,0.062303,24,0.067279,50,0.139056,54,0.151163
South Dakota,2003,68362,93146,464319,7,0.096749,16,276,0.233748,12,0.172673,1,0.018187,4,0.072401,5,0.069036,11,0.156272,15,0.212527
Tennessee,2003,475614,636601,3743398,22,0.046901,67,1438,0.14084,64,0.133623,7,0.015571,23,0.053597,29,0.061429,61,0.127694,77,0.161416
Texas,2003,2038642,2577160,12992311,113,0.055423,340,6465,0.166871,228,0.111664,50,0.024457,102,0.057748,122,0.059671,272,0.133265,264,0.129632
Utah,2003,229590,356134,1248593,11,0.046687,26,387,0.112817,16,0.068087,3,0.013712,9,0.04157,11,0.047351,24,0.104829,20,0.086903
Vermont,2003,53561,70579,408025,3,0.064629,11,248,0.199495,8,0.142305,1,0.021168,4,0.088156,6,0.111069,11,0.197971,9,0.174278
Virginia,2003,617003,757538,4614672,33,0.053556,97,2425,0.157544,74,0.119879,8,0.013387,29,0.053038,42,0.067629,79,0.128089,83,0.133735
Washington,2003,527419,676016,3890656,34,0.065355,95,2368,0.180663,56,0.106933,10,0.018052,29,0.064707,42,0.079838,83,0.157269,69,0.131668
West Virginia,2003,138269,195092,1205827,9,0.065779,22,437,0.157804,23,0.166923,3,0.022364,8,0.070166,11,0.077668,21,0.152304,27,0.19661
Wisconsin,2003,478926,633007,3459808,42,0.087158,117,2243,0.24443,73,0.152697,11,0.022503,28,0.069829,40,0.083605,82,0.170832,86,0.178645
Wyoming,2003,43883,60860,315000,3,0.078575,8,167,0.183171,6,0.136129,1,0.016939,3,0.069667,3,0.068655,6,0.144724,8,0.173715
Alabama,2004,380150,506120,2871062,21,0.05466,61,1254,0.159748,47,0.12425,6,0.015926,17,0.051428,26,0.067209,48,0.126519,61,0.159465
Alaska,2004,68162,73462,373429,4,0.059821,10,208,0.14672,7,0.107485,1,0.01952,4,0.0715,7,0.097076,11,0.166355,10,0.151392
Arizona,2004,510698,643907,3549522,36,0.070835,92,2120,0.180065,57,0.110728,12,0.022733,28,0.068894,42,0.082033,82,0.160111,70,0.136778
Arkansas,2004,232095,310177,1729803,12,0.051152,38,697,0.164473,30,0.130799,4,0.01642,11,0.055108,18,0.078314,32,0.136982,38,0.162023
California,2004,3290671,3974135,21850567,200,0.060806,533,11879,0.162028,295,0.089709,52,0.015881,164,0.057477,247,0.074991,458,0.139219,358,0.108731
Colorado,2004,392822,506705,2865042,29,0.074487,81,1805,0.205158,48,0.121459,7,0.018606,24,0.074678,36,0.092432,65,0.165631,63,0.159287
Connecticut,2004,299013,344048,2265842,19,0.063069,63,1474,0.209427,39,0.129286,6,0.019419,19,0.07991,27,0.088786,55,0.18546,46,0.155153
Delaware,2004,67454,92253,534950,3,0.050043,11,276,0.16413,8,0.121924,1,0.014018,4,0.06835,5,0.072388,10,0.142325,10,0.147714
District of Columbia,2004,34350,65197,364207,1,0.039544,4,222,0.127021,2,0.071417,0,0.005225,2,0.061086,2,0.068732,5,0.143749,3,0.093329
Florida,2004,1404055,1719548,11530104,81,0.057603,239,6382,0.170062,142,0.101047,25,0.017705,73,0.060007,102,0.072884,203,0.144831,168,0.119509
Georgia,2004,775954,990545,5412379,33,0.043069,113,2537,0.145233,84,0.10845,10,0.012709,35,0.050271,47,0.060679,94,0.121155,100,0.12833
Hawaii,2004,100585,123191,796942,5,0.05372,14,396,0.137357,8,0.077192,2,0.015016,5,0.062499,8,0.076051,14,0.144054,10,0.102966
Idaho,2004,127552,172734,841609,9,0.070543,20,417,0.158793,14,0.10626,2,0.017009,6,0.055463,8,0.06241,16,0.128142,17,0.131444
